nome,sku,blingId,arquivo_imagem,fonte,status_imagem
"GEL MASSAGEM 100DOR SEXY","3104000004389","16653013164","","SEM_IMAGEM","OCULTO"
"LENÇO UMEDECIDO INTIMO","3104000004386","16652979695","lenco-umedecido-intimo-3104000004386.jpg","ID_OK","VISIVEL"
"CREME FACIAL DIURNO","3104000004314","16649334244","","SEM_IMAGEM","OCULTO"
"DESODORANTE ÍNTIMO MORANGO","3104000004313","16649327202","desodorante-intimo-morango.png","ID_OK","VISIVEL"
"DESODORANTE ÍNTIMO TUTTI-FRUIT","3104000004311","16649314550","desodorante-intimo-tutti-frutti.png","ID_OK","VISIVEL"
"DESODORANTE ÍNTIMO DOCE PAIXÃO","3104000004310","16649309650","desodorante-intimo-doce-paixao.png","ID_OK","VISIVEL"
"GELO FACIAL","3104000004240","16645773552","","SEM_IMAGEM","OCULTO"
"CREME DE MÃOS CLASSIC","3104000004235","16645759434","","SEM_IMAGEM","OCULTO"
"PORTA CREME","3104000004120","16631956715","","SEM_IMAGEM","OCULTO"
"BRINQUEDO QUBRA GELO PINGUIM","3104000003923","16627975992","","SEM_IMAGEM","OCULTO"
"BOLINHA DE GEL","3104000004043","16623747866","","SEM_IMAGEM","OCULTO"
"GELATINA CAPILAR UVA 500G - APINIL","3104000004008","16623300893","","SEM_IMAGEM","OCULTO"
"GELATINA CAPILAR TUTTI-FRUITT 500G - APINIL","3104000004007","16623300800","","SEM_IMAGEM","OCULTO"
"GELATINA CAPILAR MORANGUINHO 500G - APINIL","3104000004006","16623300637","","SEM_IMAGEM","OCULTO"
"GELATINA CAPILAR MELANCIA 500G - APINIL","3104000004005","16623300568","","SEM_IMAGEM","OCULTO"
"FORTGEL SPRAY 120ML","3104000004004","16623299669","","SEM_IMAGEM","OCULTO"
"SUPER GEL 30 ERVAS 150G","3104000004003","16623299072","","SEM_IMAGEM","OCULTO"
"GARGANTA PROFUNDA SEX ON THE BEACH","3104000003967","16622751943","","SEM_IMAGEM","OCULTO"
"GEL EXCITNTE SEDENTA 18G SEXY","3104000003966","16622749173","","SEM_IMAGEM","OCULTO"
"GEL FAISCA NA XAVASCA SEXY","3104000003965","16622745906","","SEM_IMAGEM","OCULTO"
"GEL ANEST INDOLOR 15G SEXY","3104000003963","16622729090","","SEM_IMAGEM","OCULTO"
"CREME JAPONES 3G SEXY","3104000003962","16622725075","","SEM_IMAGEM","OCULTO"
"GEL NAPEPEX SEXY","3104000003960","16622720743","","SEM_IMAGEM","OCULTO"
"AROMATIZANTE BUCAL BEIJO SEXY","3104000003959","16622715581","","SEM_IMAGEM","OCULTO"
"CHAVEIRO E CREME HIDRATANTE","3104000003835","16618439661","","SEM_IMAGEM","OCULTO"
"LENÇO HIGIENIZADOR ÍNTIMO","3104000003811","16618377221","","SEM_IMAGEM","OCULTO"
"ANTI ACNE GEL SECATIVO","3104000003797","16618290462","","SEM_IMAGEM","OCULTO"
"BLUSH COMPACTO URSINHOS","3104000003791","16618270587","","SEM_IMAGEM","OCULTO"
"BOX GLOW LOVE CREME PARA AREA DOS OLHOS 60G MAMAO C/ 36","","16615779055","","SEM_IMAGEM","OCULTO"
"LIP GLOSS LITTLE ANGEL","3104000003676","16611555246","","SEM_IMAGEM","OCULTO"
"CREME PROMO","3104000003657","16610631806","","SEM_IMAGEM","OCULTO"
"MINI BULLET DUPLO VIBRADOR","3104000003541","16602145620","","SEM_IMAGEM","OCULTO"
"VIBRADOR GOLFINHO SEXY","3104000003540","16602132978","","SEM_IMAGEM","OCULTO"
"MINI TIGELA MARTELADA","3104000003452","16596132758","","SEM_IMAGEM","OCULTO"
"TIGELA MARTELADA","3104000003451","16596130141","","SEM_IMAGEM","OCULTO"
"GLITTER EM GEL","3104000003425","16595965114","","SEM_IMAGEM","OCULTO"
"GEL CORPORAL 60 ML SEX","3104000003417","16595910138","","SEM_IMAGEM","OCULTO"
"LUBRIFICANTE INTIMO 60ML SEXY","3104000003416","16595896248","","SEM_IMAGEM","OCULTO"
